rental_id,duration,bike_id,end_date,end_station_id,end_station_name,start_date,start_station_id,start_station_name,end_station_logical_terminal,start_station_logical_terminal,end_station_priority_id
65307458,2160,9337,5/24/2017 16:52:00,16,"Cartwright Gardens , Bloomsbury",5/24/2017 16:16:00,457,"Castlehaven Road, Camden Town",,,
53864712,7140,3275,5/15/2016 17:14:00,692,"Cadogan Close, Victoria Park",5/15/2016 15:15:00,748,"Hertford Road, De Beauvoir Town",,,
53395800,4200,10559,5/2/2016 16:50:00,481,"Saunders Ness Road, Cubitt Town",5/2/2016 15:40:00,481,"Saunders Ness Road, Cubitt Town",,,
42534854,3420,1845,4/12/2015 16:49:00,457,"Castlehaven Road, Camden Town",4/12/2015 15:52:00,536,"Queensbridge Road, Haggerston",,,
49230699,2820,13129,10/30/2015 23:00:00,278,"Tooley Street, Bermondsey",10/30/2015 22:13:00,564,"Somerset House, Strand",,,
56518616,2520,3867,7/28/2016 19:43:00,692,"Cadogan Close, Victoria Park",7/28/2016 19:01:00,107,"Finsbury Leisure Centre, St. Luke's",,,
51951515,60,12939,3/5/2016 23:42:00,451,"Hermitage Court, Wapping",3/5/2016 23:41:00,46,"Nesham Street, Wapping",,,
44360914,2760,4060,6/10/2015 8:39:00,17,"Hatton Wall, Holborn",6/10/2015 7:53:00,591,"Westfield Library Corner, Shepherd's Bush",,,
55495467,2220,5506,7/3/2016 15:44:00,480,"Flamborough Street, Limehouse",7/3/2016 15:07:00,134,"Wapping High Street, Wapping",,,
62106008,2520,13745,2/2/2017 12:40:00,18,"Drury Lane, Covent Garden",2/2/2017 11:58:00,159,"Great Marlborough Street, Soho",,,
57478272,3600,13383,8/21/2016 17:20:00,641,"Archbishop's Park, Waterloo",8/21/2016 16:20:00,641,"Archbishop's Park, Waterloo",,,
54518149,5160,2133,6/4/2016 17:43:00,153,"Bayswater Road, Hyde Park",6/4/2016 16:17:00,153,"Bayswater Road, Hyde Park",,,
49111231,2280,10392,10/26/2015 18:35:00,381,"Charlotte Street, Fitzrovia",10/26/2015 17:57:00,731,"Michael Road, Walham Green",,,
60201744,10500,6553,11/10/2016 19:37:00,572,"Greenland Road, Camden Town",11/10/2016 16:42:00,192,"Wardour Street, Soho",,,
64194454,2100,11964,4/19/2017 16:40:00,427,"Cheapside, Bank",4/19/2017 16:05:00,572,"Greenland Road, Camden Town",,,
45977557,2880,6722,7/22/2015 0:15:00,272,"Baylis Road, Waterloo",7/21/2015 23:27:00,194,"Hop Exchange, The Borough",,,
45830210,3120,10895,7/18/2015 12:17:00,404,"Palace Gate, Kensington Gardens",7/18/2015 11:25:00,350,"Queen's Gate, Kensington Gardens",,,
48212164,3300,783,9/27/2015 14:00:00,646,"Buckingham Gate, Westminster",9/27/2015 13:05:00,153,"Bayswater Road, Hyde Park",,,
54809403,3120,8182,6/12/2016 13:59:00,11,"Brunswick Square, Bloomsbury",6/12/2016 13:07:00,433,"Wren Street, Holborn",,,
60343925,2100,1583,11/16/2016 14:42:00,492,"The Green Bridge, Mile End",11/16/2016 14:07:00,479,"Pott Street, Bethnal Green",,,
58341167,1980,6192,9/13/2016 20:36:00,679,"Orbel Street, Battersea",9/13/2016 20:03:00,795,"Melton Street, Euston",,,
43402159,3300,11276,5/11/2015 11:57:00,337,"Pembridge Villas, Notting Hill",5/11/2015 11:02:00,548,"Westminster Bridge Road, Elephant & Castle",,,
64037431,2820,13118,4/13/2017 17:30:00,341,"Craven Street, Strand",4/13/2017 16:43:00,83,"Panton Street, West End",,,
64508335,3660,2429,4/29/2017 17:04:00,180,"North Audley Street, Mayfair",4/29/2017 16:03:00,404,"Palace Gate, Kensington Gardens",,,
65308162,1980,7277,5/24/2017 17:04:00,383,"Frith Street, Soho",5/24/2017 16:31:00,213,"Wellington Arch, Hyde Park",,,
48294790,2040,6793,9/29/2015 18:45:00,248,"Triangle Car Park, Hyde Park",9/29/2015 18:11:00,248,"Triangle Car Park, Hyde Park",,,
45440015,2760,7860,7/8/2015 20:51:00,266,"Queen's Gate (North), Kensington",7/8/2015 20:05:00,41,"Sun Street, Liverpool Street",,,
46888412,0,2880,8/15/2015 13:46:00,129,"Golden Square, Soho",8/15/2015 13:46:00,129,"Golden Square, Soho",,,
44268816,2100,2633,6/7/2015 15:21:00,248,"Triangle Car Park, Hyde Park",6/7/2015 14:46:00,153,"Bayswater Road, Hyde Park",,,
46246094,1980,10695,7/30/2015 13:11:00,431,"Crinan Street, King's Cross",7/30/2015 12:38:00,194,"Hop Exchange, The Borough",,,
45273755,16260,6888,7/4/2015 21:01:00,513,"Watney Market, Stepney",7/4/2015 16:30:00,533,"Wellington Row, Bethnal Green",,,
53632230,4740,12446,5/8/2016 17:19:00,579,"Queen Street 2, Bank",5/8/2016 16:00:00,564,"Somerset House, Strand",,,
61108359,2700,9464,12/16/2016 14:37:00,742,"Blenheim Crescent, Ladbroke Grove",12/16/2016 13:52:00,614,"Bradmead, Battersea Park",,,
42586388,11760,8363,4/14/2015 13:31:00,357,"Howland Street, Fitzrovia",4/14/2015 10:15:00,191,"Hyde Park Corner, Hyde Park",,,
65341495,4620,14626,5/25/2017 11:17:00,150,"Holy Trinity Brompton, Knightsbridge",5/25/2017 10:00:00,203,"West Smithfield Rotunda, Farringdon",,,
47931410,2160,10770,9/18/2015 13:52:00,584,"Ilchester Gardens, Bayswater",9/18/2015 13:16:00,172,"Sumner Place, South Kensington",,,
54098511,1980,8314,5/22/2016 13:49:00,407,"Speakers' Corner 1, Hyde Park",5/22/2016 13:16:00,800,"Sopwith Way, Battersea Park",,,
64996919,3480,14297,5/15/2017 1:52:00,233,"Pall Mall East, West End",5/15/2017 0:54:00,233,"Pall Mall East, West End",,,
45598028,2160,4937,7/11/2015 17:33:00,94,"Bricklayers Arms, Borough",7/11/2015 16:57:00,167,"Eccleston Place, Victoria",,,
52288488,2100,1110,3/20/2016 16:30:00,432,"Exhibition Road Museums, South Kensington",3/20/2016 15:55:00,762,"Storey's Gate, Westminster",,,
62906015,4620,13349,3/8/2017 15:30:00,733,"Park Lane, Mayfair",3/8/2017 14:13:00,226,"Charles II Street, West End",,,
64061391,5100,13490,4/14/2017 16:27:00,404,"Palace Gate, Kensington Gardens",4/14/2017 15:02:00,398,"Holland Park, Kensington",,,
46704326,2100,150,8/9/2015 20:10:00,153,"Bayswater Road, Hyde Park",8/9/2015 19:35:00,287,"Bedford Way, Bloomsbury",,,
63575759,2580,10212,3/31/2017 18:28:00,9,"New Globe Walk, Bankside",3/31/2017 17:45:00,160,"Waterloo Place, St. James's",,,
62174160,3720,8183,2/5/2017 16:15:00,397,"Devonshire Terrace, Bayswater",2/5/2017 15:13:00,397,"Devonshire Terrace, Bayswater",,,
57822059,2640,8689,8/30/2016 18:52:00,485,"Old Ford Road, Bethnal Green",8/30/2016 18:08:00,446,"York Hall, Bethnal Green",,,
49611905,2640,10583,11/14/2015 13:28:00,541,"Green Park Station, Mayfair",11/14/2015 12:44:00,307,"Black Lion Gate, Kensington Gardens",,,
64310551,2100,9282,4/23/2017 10:25:00,428,"Exhibition Road, Knightsbridge",4/23/2017 9:50:00,99,"Old Quebec Street, Marylebone",,,
