id,installed,latitude,locked,longitude,name,bikes_count,docks_count,nbEmptyDocks,temporary,terminal_name,install_date,removal_date
692,TRUE,51.54211855,false,-0.028941601,"Cadogan Close, Victoria Park",18,22,4,FALSE,200112,11/11/2013,
729,TRUE,51.47893931,false,-0.208485293,"St. Peter's Terrace, Fulham",18,24,4,FALSE,300043,11/25/2013,
766,TRUE,51.45752945,false,-0.192165613,"Ram Street, Wandsworth",20,25,4,FALSE,200079,2/20/2014,
631,TRUE,51.4795017,false,-0.141770709,"Battersea Park Road, Nine Elms",22,27,4,FALSE,200183,10/8/2013,
534,TRUE,51.531864,false,-0.066035,"Goldsmith's Row, Haggerston",23,27,4,FALSE,200159,,
504,TRUE,51.496454,false,-0.009506,"St. John's Park, Cubitt Town",24,30,4,FALSE,200243,1/30/2012,
736,TRUE,51.50659035,false,-0.216104479,"Queensdale Road, Shepherd's Bush",24,28,4,FALSE,300088,11/26/2013,
743,TRUE,51.46079243,false,-0.212607684,"Oxford Road, Putney",24,29,4,FALSE,300078,11/29/2013,
684,TRUE,51.45475251,false,-0.195197203,"Neville Gill Close, Wandsworth",26,32,4,FALSE,200188,11/7/2013,
689,TRUE,51.45922541,false,-0.180884959,"Spanish Road, Clapham Junction",26,30,4,FALSE,200106,11/8/2013,
844,TRUE,51.498439,false,-0.049150215,"Canada Water Station, Rotherhithe",29,35,4,FALSE,300252,12/18/2020,
74,TRUE,51.48591714,false,-0.124469948,"Vauxhall Cross, Vauxhall",11,17,5,FALSE,1000,7/12/2010,
283,TRUE,51.51440928,false,-0.118478757,"Kingsway, Covent Garden",11,16,5,FALSE,1141,7/21/2010,
733,TRUE,51.50542628,false,-0.150817316,"Park Lane, Mayfair",12,18,5,FALSE,300093,11/26/2013,
325,TRUE,51.50908747,false,-0.129697889,"St. Martin's Street, West End",13,18,5,FALSE,1158,7/23/2010,
538,TRUE,51.508981,false,-0.00699,"Naval Row, Blackwall",16,21,5,FALSE,200050,,
600,TRUE,51.481747,false,-0.124642,"South Lambeth Road, Vauxhall",16,21,5,FALSE,200133,,
769,TRUE,51.473611,false,-0.191803,"Sandilands Road, Walham Green",16,21,5,FALSE,300001,3/4/2014,
840,TRUE,51.498585,false,-0.068981764,"George Row, Bermondsey",16,22,5,FALSE,2679,9/10/2020,
307,TRUE,51.50990837,false,-0.187842717,"Black Lion Gate, Kensington Gardens",17,24,5,FALSE,1157,7/22/2010,
558,TRUE,51.493978,false,-0.127554,"Page Street, Westminster",17,24,5,FALSE,200048,5/9/2014,
464,TRUE,51.51417,false,-0.052099,"St. Mary & St. Michael Church, Stepney",20,25,5,FALSE,200082,1/11/2012,
668,TRUE,51.49422354,false,-0.236769936,"Ravenscourt Park Station, Hammersmith",20,26,5,FALSE,300037,10/30/2013,
830,TRUE,51.469202,false,-0.11902256,"Sidney Road, Stockwell",21,27,5,FALSE,300229,2/7/2018,
640,TRUE,51.47286577,false,-0.148059277,"Silverthorne Road, Battersea",23,28,5,FALSE,200179,10/17/2013,
670,TRUE,51.46718562,false,-0.152248582,"Ashley Crescent, Battersea",23,28,5,FALSE,200169,10/31/2013,
219,TRUE,51.49016361,false,-0.19039362,"Bramham Gardens, Earl's Court",24,29,5,FALSE,1183,7/19/2010,
845,TRUE,51.497995,false,-0.063471392,"Bermondsey Station, Bermondsey",24,30,5,FALSE,300253,12/18/2020,
800,TRUE,51.48112194,false,-0.1490353749,"Sopwith Way, Battersea Park",25,30,5,FALSE,300248,3/4/2016,
214,TRUE,51.52683806,false,-0.130504336,"Endsleigh Gardens, Euston",26,32,5,FALSE,1079,7/19/2010,
